seniorcitizen,tenure,monthlycharges,gender_male,partner_yes,dependents_yes,phoneservice_yes,multiplelines_yes,internetservice_fiber_optic,internetservice_no,onlinesecurity_yes,onlinebackup_yes,deviceprotection_yes,techsupport_yes,streamingtv_yes,streamingmovies_yes,contract_one_year,contract_two_year,paperlessbilling_yes,paymentmethod_credit_card_(automatic),paymentmethod_electronic_check,paymentmethod_mailed_check,paymentmethod_credit_card
0,0.2243481923252256,-0.08763320126597292,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0.0,0,1,
0,-0.6683694559704032,-1.4963351173523636,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
1,-0.7089475308929317,0.6828539969690718,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.0,0,0,
0,-0.6277913810478746,0.1669913234726471,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.9524159804281033,0.307530833880327,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1.0,0,0,
0,-0.4249010064352317,0.9341717096980995,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0.0,0,1,
0,-0.5872133061253461,-1.4930283053427713,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,
0,0.5489727917054542,-0.2662010497839661,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0.0,0,1,
1,0.95475354093074,1.155728114340795,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0.0,0,0,
0,0.95475354093074,1.116046370225685,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0.0,1,0,
0,-0.6277913810478746,-1.450039749218069,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
0,-1.074150205195689,-1.3177672688343705,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
1,-0.6277913810478746,0.5853030426860943,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1.0,0,0,
0,0.5489727917054542,-1.322727486848759,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,1.441690440001083,0.6530926888827399,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0.0,0,0,
0,-0.7495256058154603,0.20005944356857178,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,
0,0.5489727917054542,1.26319950465255,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0.0,1,0,
0,-1.2364625048858033,0.48940549440791264,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
0,-0.9118379055055746,0.710961899050608,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.0,1,0,
0,-1.277040579808332,-1.4831078693139936,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,0.8735973910856829,-0.05291167516525187,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1.0,0,0,
0,0.7924412412406258,0.667973342925906,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0.0,0,1,
0,-1.155306355040746,0.7324561771129587,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0,1,
0,1.441690440001083,-1.349181982925499,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0.0,0,0,
0,-0.5872133061253461,-1.5112157713955297,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
1,1.1576439155433829,0.568768982638132,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0.0,1,0,
0,0.5895508666279828,0.0016507229930237826,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0.0,0,1,
0,1.2388000653884401,0.21659350361653412,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0.0,1,0,
0,0.34608241709281135,-1.4649204032612353,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-1.1958844299632747,-1.4847612753187902,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,0.7112850913955685,-1.5079089593859372,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,1,
0,0.9953316158532686,-0.34060431999979657,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0.0,0,1,
0,1.3199562152334972,0.20005944356857178,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0.0,0,0,
0,0.5489727917054542,-1.4946817113475674,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,0.10261396755763985,1.1673019563743683,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
1,-1.155306355040746,0.1454970454102959,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,
0,1.6040027396911973,1.660016945803646,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0.0,1,0,
0,-1.1958844299632747,0.5208202084990412,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
1,-0.5872133061253461,0.6778937789546833,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0.0,1,0,
0,1.2388000653884401,1.493022939319226,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1.0,0,0,
0,-1.2364625048858033,-1.4798010573044011,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,1.6040027396911973,-0.35548497404296253,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0.0,1,0,
1,-1.2364625048858033,-0.33399069598061154,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,1,
0,1.52284658984614,0.00826434701220881,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0.0,0,0,
0,-1.155306355040746,-0.46460977035951406,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.9524159804281033,0.6067973207484451,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1,0,
0,1.6040027396911973,-1.4533465612276615,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
1,1.4822685149236117,-0.2777748918175397,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1.0,0,0,
1,-0.9118379055055746,1.0052681679043372,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,1.52284658984614,0.8333139434055293,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1.0,0,0,
0,-0.019120257209945892,0.8630752514918613,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,
0,-0.30316678166764593,-1.5178293954147148,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-0.30316678166764593,-1.3111536448151857,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,
0,0.10261396755763985,0.17691175950142443,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-1.277040579808332,-1.469880621275624,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.441690440001083,1.7741019601345858,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0.0,0,1,
0,-1.1958844299632747,-1.5161759894099185,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-1.1958844299632747,-1.4946817113475674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,
0,-0.9118379055055746,0.3240648939282893,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,-1.2364625048858033,0.9556659877604503,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,-1.277040579808332,0.853154815463084,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,-1.277040579808332,0.11738914332876012,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,1.6040027396911973,0.8184332893623631,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1.0,0,0,
0,1.441690440001083,-1.2946195847672233,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,-1.155306355040746,-1.4814544633091975,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,0.5489727917054542,1.304534654772456,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.0,0,0,
0,1.3605342901560258,1.26319950465255,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0.0,0,0,
0,-0.7495256058154603,-1.4946817113475674,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,-0.6277913810478746,0.8085128533335859,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0.0,1,0,
0,-0.14085448197753164,0.3058774278755308,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,1.6040027396911973,-0.004962901026161245,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1.0,0,0,
0,1.6040027396911973,1.5045967813528,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0.0,0,0,
0,-0.019120257209945892,-1.4682272152708278,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,
0,1.2793781403109687,1.1309270242688514,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1.0,0,0,
0,-0.4249010064352317,-0.2711612677983547,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0.0,0,0,
0,1.52284658984614,-1.3161138628295743,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
1,1.4822685149236117,1.5079035933623923,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0.0,0,1,
0,-0.6277913810478746,0.859768439482269,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1.0,0,0,
0,0.8330193161631543,-1.4798010573044011,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0,0,0,
0,0.5083947167829257,-0.3852462821292949,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0,0,
0,0.7112850913955685,1.1656485503695722,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0.0,0,1,
0,-1.277040579808332,0.20336625557816407,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,0.9141754660082114,-1.4963351173523636,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,1,0,
0,-0.019120257209945892,0.47287143435995027,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0.0,1,0,
0,-0.9929940553506318,-1.478147651299605,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-0.9524159804281033,0.0016507229930237826,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0.0,0,1,
0,-0.5872133061253461,1.1391940542928325,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0.0,1,0,
0,-0.8712598305830461,-1.4864146813235863,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,-0.8712598305830461,0.046292685122521895,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0.0,1,0,
0,1.2388000653884401,1.3161084968060293,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,0,0,
0,-0.4249010064352317,-0.5340528225609559,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0,0,
1,-0.059698332132474476,0.2843831498131796,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1.0,0,0,
1,1.2793781403109687,0.9688932357988204,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0.0,1,0,
0,1.3605342901560258,-1.4880680873283825,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,0.9141754660082114,-1.4864146813235863,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
0,-1.277040579808332,0.9374785217076917,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
1,1.2793781403109687,-1.3409149529015179,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0.0,0,0,
0,-0.5060571562802889,0.18187197751581333,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.9929940553506318,-1.5012953353667524,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,
0,-1.277040579808332,-1.491374899337975,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.38432293151270314,0.5307406445278184,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0.0,1,0,
0,-0.8306817556605175,-1.4963351173523636,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-0.019120257209945892,0.6200245687868151,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1.0,0,0,
0,0.06203589263511127,-0.07605935923239923,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,1,0,
0,-1.277040579808332,0.17856516550622056,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,0.8330193161631543,0.29265017983716074,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1.0,0,0,
0,-0.26258870674511736,-0.3439111320093891,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1.0,0,0,
0,-1.1958844299632747,-1.49798852335716,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,-0.38432293151270314,-1.4930283053427713,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,1.3605342901560258,1.3458698048923616,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0.0,0,0,
0,1.6040027396911973,1.6815112238659968,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,0,0,
0,0.2243481923252256,0.10581530129518667,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1.0,0,0,
0,0.6301289415505114,1.3607504589355275,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1.0,0,0,
0,-0.5060571562802889,1.053216942043428,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0.0,0,1,
0,1.2793781403109687,0.5406610805565958,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0.0,0,1,
0,-1.277040579808332,0.6464790648635548,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0,
0,1.1982219904659115,-0.3372975079902041,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1.0,0,0,
1,1.6040027396911973,1.2466654446045877,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1.0,0,0,
1,-1.0335721302731604,0.6481324708683509,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1,0,
0,-0.5060571562802889,1.3524834289115462,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,0,0,
0,-1.277040579808332,-1.5029487413715485,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,0.34608241709281135,-1.4814544633091975,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-0.34374485659017456,0.45137715629759906,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1.0,0,0,
0,-1.277040579808332,-1.3524887949350914,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,-0.4654790813577603,0.5092463664654673,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,
1,-0.38432293151270314,0.997001137880356,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0.0,1,0,
0,0.2243481923252256,0.9903875138611715,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0.0,0,0,
0,1.6040027396911973,-1.329341110867944,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,1.1170658406208545,-0.006616307030957384,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0.0,1,0,
0,-0.7089475308929317,0.36540004404819515,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,-1.2364625048858033,0.5175133964894484,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0,1,
1,-1.155306355040746,0.3439057659858439,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,
0,-0.059698332132474476,0.9540125817556541,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0.0,1,0,
0,-0.6683694559704032,0.7770981392424573,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0.0,1,0,
1,-0.7495256058154603,-0.8349727154338702,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.0,0,1,
0,-0.5466352312028174,-1.4814544633091975,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-0.7089475308929317,-1.314460456824778,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-1.2364625048858033,-0.663018490935062,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,
1,0.5083947167829257,-1.0168473759614558,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1,0,
0,1.3605342901560258,1.6815112238659968,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0.0,0,0,
0,-0.14085448197753164,-0.529092604546567,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,
0,-0.14085448197753164,-1.4748408392900125,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,-1.277040579808332,-1.491374899337975,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-1.277040579808332,0.8465411914438989,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,0.6301289415505114,-1.4847612753187902,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0,1,
0,0.021457817712582688,1.2830403767101046,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0.0,1,0,
0,1.52284658984614,1.653403321784461,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,0,0,
0,1.5634246647686687,0.8052060413239931,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1.0,0,0,
0,0.7924412412406258,1.2598926926429572,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,1,0,
0,-1.155306355040746,-1.4963351173523636,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,0.7924412412406258,1.3243755268300106,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0.0,0,0,
0,1.52284658984614,1.5277444654199475,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,0,1,
0,1.1170658406208545,0.39681475813932365,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0.0,0,0,
0,1.2388000653884401,-1.469880621275624,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,-0.14085448197753164,0.3439057659858439,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0.0,0,0,
0,0.9953316158532686,-1.5029487413715485,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
1,0.8735973910856829,0.29926380385634577,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,
0,1.3199562152334972,0.8200866953671593,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0.0,1,0,
1,-0.8306817556605175,-0.7043536410549679,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,1,0,
0,-0.4249010064352317,0.4596441863215802,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0.0,0,1,
0,1.1170658406208545,-0.1686500955009882,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1.0,0,0,
1,0.46781664186039706,1.4831025032904488,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1.0,0,0,
1,1.3605342901560258,1.1606883323551833,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1.0,0,0,
0,1.3605342901560258,-0.2711612677983547,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1.0,0,0,
0,-0.8712598305830461,0.3786272920865652,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,
0,-1.277040579808332,0.8845695295542125,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0.0,1,0,
0,-0.4249010064352317,0.6663199369211094,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1,0,
0,-1.1958844299632747,1.006921573909134,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0.0,1,0,
0,-1.277040579808332,-0.9655917898127727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
1,0.021457817712582688,0.9771602658228015,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,-0.7089475308929317,-1.4864146813235863,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,-0.8712598305830461,0.43484309624963674,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1.0,0,0,
0,0.5489727917054542,0.4976725244318938,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.0,0,0,
0,-0.8712598305830461,0.26288887175082887,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.0,1,0,
0,-1.0335721302731604,-1.4616135912516428,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-1.1147282801182177,0.9887341078563749,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,0,0,
0,-1.2364625048858033,-1.4847612753187902,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.2388000653884401,0.4877520884031165,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1.0,0,0,
0,-0.7495256058154603,0.016531377036189978,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0.0,1,0,
0,1.4822685149236117,-1.5161759894099185,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0,1,
0,-0.4249010064352317,0.6398654408443698,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0,1,
0,1.6040027396911973,-1.506255553381141,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
1,0.021457817712582688,0.6249847868012036,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1.0,0,0,
0,-0.019120257209945892,-1.5095623653907335,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,-0.5872133061253461,-1.0399950600286032,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.0,0,0,
1,1.6040027396911973,1.6153749836741476,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0.0,0,0,
0,1.6040027396911973,1.405392421065026,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0,0,1,
0,-0.5060571562802889,-1.506255553381141,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,0.9141754660082114,-1.4533465612276615,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,0.6301289415505114,-1.4880680873283825,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,
1,0.26492626724775414,1.150767896326406,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
1,-0.4249010064352317,1.0499101300338358,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,-1.2364625048858033,-0.1967579975825242,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.0,1,0,
0,-1.155306355040746,-0.039684427126882055,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0.0,0,0,
0,-0.30316678166764593,-1.4847612753187902,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
0,-0.38432293151270314,0.8300071313959366,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0,0,0,
0,0.95475354093074,-0.4282348382539969,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0.0,0,1,
0,0.9953316158532686,-1.4897214933331788,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,0.7924412412406258,0.3455591719906405,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0.0,0,1,
0,-0.18143255690006022,0.9060638076165632,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0.0,0,1,
0,1.441690440001083,0.3902011341201386,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1.0,0,0,
0,0.7518631663180971,0.7076550870410152,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0.0,0,1,
0,1.6040027396911973,0.021491595050578394,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0.0,0,0,
1,-1.1147282801182177,0.1752583534966283,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,1.4011123650785544,1.5310512774295397,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0.0,1,0,
1,-0.7495256058154603,0.3091842398851231,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,0.5489727917054542,1.496329751328819,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0.0,1,0,
0,1.52284658984614,1.2169041365182554,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.0,1,0,
0,-0.9524159804281033,-0.6464844308870997,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,0.3866604920153399,-0.5092517324890125,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,
1,0.8735973910856829,1.2086371064942742,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1.0,0,0,
0,1.1576439155433829,-1.4682272152708278,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1.0,0,0,
0,-0.18143255690006022,0.9011035896021748,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0.0,0,0,
1,0.30550434217028277,1.2202109485278476,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0.0,1,0,
0,0.5895508666279828,-0.16368987748659955,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1.0,0,0,
1,-0.34374485659017456,0.4596441863215802,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0.0,1,0,
0,0.5083947167829257,-1.3392615468967215,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-1.1147282801182177,0.3505193900050289,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,
0,-1.074150205195689,-0.4629563643547177,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1.0,0,0,
0,-1.277040579808332,0.171951541487036,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,1.6040027396911973,-1.3177672688343705,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,-1.0335721302731604,1.1722621743887571,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0.0,1,0,
0,-1.277040579808332,-1.4946817113475674,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
